AnnoScolastico;CodScuola;Gestione;Denominazione;Indirizzo;MunicipioScuola;NilScuola;Capienza;Numero_Classi;Alunni_Tot;Alunni_M;Alunni_F;Alunni_Resid;Alunni_NonResid;Alunni_NazNasc_Italia;Alunni_NazNasc_UE15;Alunni_NazNasc_UE_Nuovi;Alunni_NazNasc_Europa_Altri;Alunni_NazNasc_Africa;Alunni_NazNasc_AmericaNord;Alunni_NazNasc_AmericaCentroSud;Alunni_NazNasc_Asia;Alunni_NazNasc_Altro_NonDisp;Alunni_Cittad_Ita;Alunni_Cittad_Non_Ita;Alunni_Cittad_NonDisp
2015/2016;2159;Paritaria;A. LIMONTA - ISTITUTO CANOSSIANE;VIA TAGLIAMENTO 12;4;Lodi - Corvetto (35);0;5;106;50;56;95;11;103;0;0;1;0;0;1;1;0;97;9;0
2015/2016;2153;statale;Puglie;VLE PUGLIE 4;4;Lodi - Corvetto (35);300;15;327;171;156;317;10;293;0;1;1;15;0;6;11;0;231;96;0
2015/2016;2151;Paritaria;SAN VINCENZO REGINA MUNDI;VIA BONCOMPAGNI CARLO 18;4;Lodi - Corvetto (35);0;10;228;119;109;179;49;220;0;0;2;3;0;1;2;0;223;5;0
2015/2016;2144;statale;MARCELLO CANDIA;VIA VALLARSA 19;5;Scalo Romana (36);250;15;311;169;142;298;13;274;2;1;0;14;0;8;12;0;207;104;0
2015/2016;2315;Privata non paritaria;KC LUDUM SCHOOL;VIA DEI FONTANILI 3;5;Ex OM - Morivione (37);0;4;37;16;21;19;18;28;0;0;1;0;1;1;6;0;28;9;0
2015/2016;2148;statale;Bognetti;VIA DEI BOGNETTI 15;5;Ex OM - Morivione (37);350;12;279;136;143;255;24;256;2;0;1;5;1;9;5;0;226;53;0
2015/2016;2156;statale;ERMANNO WOLF-FERRARI;VIA WOLF FERRARI ERMANNO 6;5;Ripamonti (38);425;23;534;267;267;504;30;509;3;4;3;7;0;2;6;0;460;74;0
2015/2016;2149;statale;DAMIANO CHIESA;VIA ANTONINI GIACOMO 50;5;Ripamonti (38);250;6;144;86;58;127;17;123;1;0;4;5;0;5;6;0;65;79;0
2015/2016;2165;statale;Baroni;VIA BARONI COSTANTINO 73;5;Gratosoglio - Ticinello (41);325;10;202;112;90;196;6;182;1;2;1;12;0;0;4;0;102;100;0
2015/2016;2309;Privata non paritaria;SCUOLA STEINERIANA COMETA;VIA BUSSOLA DIONIGI 9;6;Gratosoglio - Ticinello (41);0;5;88;39;49;64;24;83;1;0;0;2;0;1;1;0;88;0;0
2015/2016;2163;statale;Feraboli;VIA FERABOLI ACHILLE 44;5;Gratosoglio - Ticinello (41);350;14;280;147;133;272;8;268;0;2;1;4;0;2;2;1;226;54;0
2015/2016;2164;statale;Arcadia;VIA DELL' ARCADIA 22;5;Gratosoglio - Ticinello (41);625;15;323;158;165;310;13;306;0;4;1;5;0;5;2;0;258;65;0
2015/2016;2161;Paritaria;ISTITUTO MADRE COCCHETTI ANNNUNCIATA;VLE GIOVANNI DA CERMENATE 4;5;Stadera (42);0;5;120;58;62;86;34;117;0;0;2;0;0;1;0;0;117;3;0
2015/2016;2313;Paritaria;MBM - MILANO BILINGUE MONTESSORI;VIA PALMIERI NICOLA 72;5;Stadera (42);0;5;81;39;42;48;33;70;5;0;1;0;2;1;2;0;74;7;0
2015/2016;2168;statale;DOMENICO MORO;VIA PESCARENICO 6;5;Stadera (42);300;16;318;153;165;308;10;310;0;1;1;3;0;0;3;0;285;33;0
2015/2016;2162;statale;CLEMENTINA PERONE;VIA SAN GIACOMO 1;5;Stadera (42);425;15;334;180;154;323;11;328;0;0;0;3;0;2;1;0;273;61;0
2015/2016;2160;statale;CESARE BATTISTI;VIA PALMIERI NICOLA 24;5;Stadera (42);375;15;316;150;166;282;34;269;2;4;3;17;0;8;12;1;143;173;0
2015/2016;2166;Paritaria;LA ZOLLA;VIA CARCANO GIULIO 53;5;Tibaldi (43);0;15;313;150;163;261;52;308;0;1;0;0;1;1;1;1;312;1;0
2015/2016;2061;statale;Conforti Avogadro - Via Vigevano, 19;VIA VIGEVANO 19;6;Navigli (44);400;15;298;177;121;287;11;283;0;3;1;3;1;2;3;2;251;47;0
2015/2016;2169;statale;GINO CAPPONI;VIA PESTALOZZI GIOVANNI ENRICO 13;6;S. Cristoforo (45);400;15;326;168;158;301;25;298;3;1;4;5;0;9;5;1;242;84;0
2015/2016;2170;statale;SANT'AMBROGIO;VIA DE NICOLA ENRICO 2;6;Barona (46);350;10;206;116;90;195;11;193;1;0;3;5;0;3;1;0;140;66;0
